Competition,Team 1,Team 2,Result,Round,Year,Date
Copa do Brasil,Duque de Caxias / RJ,Caldense / MG,2 x 2,8,2014
Copa do Brasil,Paysandu / PA,Maranhão / MA,2 x 1,8,2014
Copa do Brasil,Cuiabá / MT,Barbalha / CE,2 x 0,8,2014
Copa do Brasil,Ceará / CE,Parnahyba / PI,4 x 1,9,2014
Copa do Brasil,Paraná / PR,Ponte Preta / SP,1 x 1,9,2014
Copa do Brasil,Treze / PB,Vasco da Gama / RJ,1 x 2,9,2014
Copa do Brasil,Tupi / MG,Fluminense / RJ,0 x 3,9,2014
Copa do Brasil,Ponte Preta / SP,Paraná / PR,8 x 7,9,2014
Copa do Brasil,Londrina / PR,Grêmio Barueri / SP,0 x 0,9,2014
Copa do Brasil,Sampaio Correa / MA,Palmeiras / SP,2 x 1,9,2014
Copa do Brasil,Abc / RN,Atlético / GO,1 x 1,10,2014
Copa do Brasil,América / RN,Náutico / PE,3 x 0,10,2014
Copa do Brasil,Nacional / AM,Corinthians / SP,0 x 3,10,2014
Copa do Brasil,América / MG,Bahia / BA,0 x 0,10,2014
Copa do Brasil,Ceará / CE,Chapecoense / SC,1 x 1,10,2014
Copa do Brasil,Santa Rita / AL,Potiguar / RN,2 x 0,10,2014
Copa do Brasil,Princesa do Solimões / AM,Santos / SP,1 x 2,10,2014
Copa do Brasil,Bragantino / SP,Figueirense / SC,2 x 1,10,2014
Copa do Brasil,Caldense / MG,Coritiba / PR,0 x 2,10,2014
Copa do Brasil,Cuiabá / MT,Internacional / RS,1 x 1,11,2014
Copa do Brasil,Grêmio Barueri / SP,Londrina / PR,3 x 3,11,2014
Copa do Brasil,Vasco da Gama / RJ,Treze / PB,1 x 1,11,2014
Copa do Brasil,Atlético / GO,Abc / RN,1 x 2,11,2014
Copa do Brasil,Bahia / BA,América / MG,2 x 1,11,2014
Copa do Brasil,Figueirense / SC,Bragantino / SP,3 x 4,11,2014
Copa do Brasil,Palmeiras / SP,Sampaio Correa / MA,3 x 0,11,2014
Copa do Brasil,Internacional / RS,Cuiabá / MT,4 x 1,11,2014
Copa do Brasil,Náutico / PE,América / RN,2 x 0,12,2014
Copa do Brasil,Santos / SP,Princesa do Solimões / AM,4 x 2,12,2014
Copa do Brasil,Sport / PE,Paysandu / PA,3 x 2,12,2014
Copa do Brasil,Potiguar / RN,Santa Rita / AL,2 x 5,12,2014
Copa do Brasil,Novo Hamburgo / RS, Malucelli / PR,1 x 0,12,2014
Copa do Brasil, Malucelli / PR,Novo Hamburgo / RS,0 x 2,12,2014
Copa do Brasil,Botafogo / PB,Santa Cruz / PE,1 x 1,12,2014
Copa do Brasil,Chapecoense / SC,Ceará / CE,1 x 2,12,2014
Copa do Brasil,Paysandu / PA,Sport / PE,2 x 1,13,2014
Copa do Brasil,Santa Cruz / PE,Botafogo / PB,2 x 1,13,2014
Copa do Brasil,Abc / RN,Novo Hamburgo / RS,1 x 0,13,2014
Copa do Brasil,Avaí / SC,Palmeiras / SP,0 x 2,13,2014
Copa do Brasil,Ponte Preta / SP,Vasco da Gama / RJ,0 x 2,13,2014
Copa do Brasil,Corinthians / SP,Bahia / BA,3 x 0,13,2014
Copa do Brasil,Novo Hamburgo / RS,Abc / RN,2 x 0,13,2014
Copa do Brasil,América / RN,Fluminense / RJ,0 x 3,13,2014
Copa do Brasil,Bragantino / SP,São Paulo / SP,1 x 2,13,2014
Copa do Brasil,Internacional / RS,Ceará / CE,1 x 2,13,2014
Copa do Brasil,Coritiba / PR,Paysandu / PA,2 x 0,14,2014
Copa do Brasil,Londrina / PR,Santos / SP,2 x 1,14,2014
Copa do Brasil,Palmeiras / SP,Avaí / SC,1 x 0,14,2014
Copa do Brasil,Vasco da Gama / RJ,Ponte Preta / SP,2 x 1,14,2014
Copa do Brasil,Bahia / BA,Corinthians / SP,1 x 0,14,2014
Copa do Brasil,Santa Rita / AL,Santa Cruz / PE,3 x 2,14,2014
Copa do Brasil,Paysandu / PA,Coritiba / PR,2 x 1,14,2014
Copa do Brasil,Santa Cruz / PE,Santa Rita / AL,1 x 1,14,2014
Copa do Brasil,Fluminense / RJ,América / RN,2 x 5,14,2014
Copa do Brasil,São Paulo / SP,Bragantino / SP,1 x 3,14,2014
Copa do Brasil,Ceará / CE,Internacional / RS,3 x 1,15,2014
Copa do Brasil,Santos / SP,Londrina / PR,2 x 0,15,2014
Copa do Brasil,Cruzeiro / MG,Santa Rita / AL,5 x 0,15,2014
Copa do Brasil,Vasco da Gama / RJ,Abc / RN,1 x 1,15,2014
Copa do Brasil,América / RN,Athlético / PR,3 x 0,15,2014
Copa do Brasil,Botafogo / RJ,Ceará / CE,1 x 2,15,2014
Copa do Brasil,Coritiba / PR,Flamengo / RJ,3 x 0,15,2014
Copa do Brasil,Palmeiras / SP,Atlético / MG,0 x 1,15,2014
Copa do Brasil,Bragantino / SP,Corinthians / SP,1 x 0,15,2014
Copa do Brasil,Grêmio / RS,Santos / SP,0 x 2,15,2014
Copa do Brasil,Santa Rita / AL,Cruzeiro / MG,1 x 2,16,2014
Copa do Brasil,Abc / RN,Vasco da Gama / RJ,2 x 1,16,2014
Copa do Brasil,Athlético / PR,América / RN,2 x 0,16,2014
Copa do Brasil,Ceará / CE,Botafogo / RJ,3 x 4,16,2014
Copa do Brasil,Flamengo / RJ,Coritiba / PR,3 x 2,16,2014
Copa do Brasil,Corinthians / SP,Bragantino / SP,3 x 1,16,2014
Copa do Brasil,Atlético / MG,Palmeiras / SP,2 x 0,16,2014
Copa do Brasil,Botafogo / RJ,Santos / SP,2 x 3,16,2014,01/10/2014
