Competition,Team 1,Team 2,Result,Round,Year,Date
Serie B,Palmeiras / SP,Joinville / SC,3 x 0,34,2013
Serie B,São Caetano / SP,América / MG,1 x 1,34,2013
Serie B,Bragantino / SP,Atlético / GO,2 x 0,34,2013
Serie B,Paysandu / PA,Oeste / SP,3 x 3,34,2013
Serie B,Oeste / SP,Figueirense / SC,2 x 2,36,2013
Serie B,América / MG,Atlético / GO,3 x 0,36,2013
Serie B,Avaí / SC,América / RN,0 x 1,36,2013
Serie B,Chapecoense / SC,Bragantino / SP,1 x 1,36,2013
Serie B,Icasa / CE,Paysandu / PA,2 x 1,36,2013
Serie B,Palmeiras / SP,Boa / MG,3 x 0,36,2013
Serie B,São Caetano / SP,Joinville / SC,3 x 2,36,2013
Serie B,Guaratinguetá / SP,Ceará / CE,0 x 1,36,2013
Serie B,Sport / PE,Paraná / PR,2 x 0,36,2013
Serie B,Oeste / SP,Atlético / GO,2 x 4,37,2013
Serie B,Boa / MG,Sport / PE,2 x 3,37,2013
Serie B,Joinville / SC,América / MG,2 x 1,37,2013
Serie B,Icasa / CE,Chapecoense / SC,1 x 2,37,2013
Serie B,Palmeiras / SP,Ceará / CE,4 x 1,37,2013
Serie B,São Caetano / SP,América / RN,2 x 2,37,2013
Serie B,Guaratinguetá / SP,Paraná / PR,3 x 4,37,2013
Serie B,Paysandu / PA,Bragantino / SP,0 x 1,37,2013
Serie B,Avaí / SC,Boa / MG,1 x 0,38,2013
Serie B,Chapecoense / SC,Palmeiras / SP,1 x 0,38,2013
Serie B,Ceará / CE,Joinville / SC,0 x 3,38,2013
Serie B,América / RN,Oeste / SP,2 x 2,38,2013
Serie B,Paraná / PR,Icasa / CE,2 x 0,38,2013
Serie B,Atlético / GO,Guaratinguetá / SP,2 x 0,38,2013
Serie B,Bragantino / SP,Figueirense / SC,1 x 1,38,2013
Serie B,Sport / PE,Paysandu / PA,0 x 0,38,2013
Serie B,Bragantino / SP,Náutico / PE,2 x 2,1,2014
Serie B,Ponte Preta / SP,Icasa / CE,1 x 1,1,2014
Serie B,Vasco da Gama / RJ,América / MG,1 x 1,1,2014
Serie B,Santa Cruz / PE,Abc / RN,1 x 1,1,2014
