Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Cuiabá / MT,Treze / PB,0 x 0,3,2014
Serie C,Ser Caxias / RS,São Caetano / SP,2 x 0,3,2014
Serie C,Tupi / MG,Guaratinguetá / SP,1 x 0,3,2014
Serie C,Duque de Caxias / RJ,Juventude / RS,0 x 1,3,2014
Serie C,Mogi Mirim / SP,Madureira / RJ,1 x 1,3,2014
Serie C,Guarani / SP,Macae / RJ,1 x 0,3,2014
Serie C,Aguia / PA,Treze / PB,2 x 2,4,2014
Serie C,Salgueiro / PE,Paysandu / PA,2 x 1,4,2014
Serie C,Juventude / RS,Guarani / SP,0 x 0,4,2014
Serie C,Madureira / RJ,Macae / RJ,0 x 1,4,2014
Serie C,Tupi / MG,Ser Caxias / RS,2 x 1,4,2014
Serie C,São Caetano / SP,Mogi Mirim / SP,1 x 2,4,2014
Serie C,Guaratinguetá / SP,Duque de Caxias / RJ,1 x 1,4,2014
Serie C,Paysandu / PA,Botafogo / PB,1 x 1,5,2014
Serie C,Cuiabá / MT,Salgueiro / PE,0 x 0,5,2014
Serie C,Madureira / RJ,São Caetano / SP,1 x 0,5,2014
Serie C,Macae / RJ,Juventude / RS,2 x 2,5,2014
Serie C,Guarani / SP,Guaratinguetá / SP,1 x 5,5,2014
Serie C,Mogi Mirim / SP,Tupi / MG,3 x 0,5,2014
Serie C,Ser Caxias / RS,Duque de Caxias / RJ,3 x 0,5,2014
Serie C,Paysandu / PA,Fortaleza / CE,1 x 2,6,2014
Serie C,Botafogo / PB,Cuiabá / MT,1 x 4,6,2014
Serie C,São Caetano / SP,Juventude / RS,1 x 2,6,2014
Serie C,Ser Caxias / RS,Mogi Mirim / SP,1 x 0,6,2014
Serie C,Tupi / MG,Madureira / RJ,1 x 0,6,2014
Serie C,Duque de Caxias / RJ,Guarani / SP,0 x 2,6,2014
Serie C,Guaratinguetá / SP,Macae / RJ,4 x 1,6,2014
Serie C,Cuiabá / MT,Paysandu / PA,3 x 2,7,2014
Serie C,Treze / PB,Fortaleza / CE,1 x 1,7,2014
Serie C,São Caetano / SP,Tupi / MG,1 x 1,7,2014
Serie C,Madureira / RJ,Ser Caxias / RS,0 x 1,7,2014
Serie C,Juventude / RS,Guaratinguetá / SP,0 x 2,7,2014
Serie C,Macae / RJ,Duque de Caxias / RJ,1 x 0,7,2014
Serie C,Mogi Mirim / SP,Guarani / SP,0 x 0,7,2014
Serie C,Fortaleza / CE,Botafogo / PB,0 x 0,8,2014
Serie C,Treze / PB,Paysandu / PA,3 x 0,8,2014
Serie C,Aguia / PA,Cuiabá / MT,2 x 1,8,2014
Serie C,Guarani / SP,Ser Caxias / RS,1 x 1,8,2014
Serie C,Macae / RJ,Mogi Mirim / SP,2 x 1,8,2014
Serie C,Duque de Caxias / RJ,Tupi / MG,1 x 1,8,2014
Serie C,Guaratinguetá / SP,São Caetano / SP,0 x 0,8,2014
Serie C,Juventude / RS,Madureira / RJ,0 x 2,8,2014
Serie C,Salgueiro / PE,Treze / PB,2 x 1,9,2014
Serie C,Botafogo / PB,Aguia / PA,2 x 0,9,2014
Serie C,Madureira / RJ,Guaratinguetá / SP,3 x 1,9,2014
Serie C,Ser Caxias / RS,Macae / RJ,1 x 0,9,2014
Serie C,Mogi Mirim / SP,Juventude / RS,1 x 0,9,2014
Serie C,São Caetano / SP,Duque de Caxias / RJ,0 x 1,9,2014
Serie C,Tupi / MG,Guarani / SP,1 x 1,9,2014
Serie C,Aguia / PA,Paysandu / PA,1 x 1,10,2014
Serie C,Fortaleza / CE,Salgueiro / PE,2 x 0,10,2014
Serie C,Treze / PB,Botafogo / PB,0 x 1,10,2014
Serie C,Juventude / RS,Ser Caxias / RS,1 x 1,10,2014
Serie C,Macae / RJ,Tupi / MG,0 x 2,10,2014
Serie C,Guarani / SP,São Caetano / SP,0 x 1,10,2014
Serie C,Duque de Caxias / RJ,Madureira / RJ,1 x 1,10,2014
Serie C,Guaratinguetá / SP,Mogi Mirim / SP,1 x 2,10,2014
Serie C,Cuiabá / MT,Fortaleza / CE,1 x 1,11,2014
